,ngay,giadieuchinh,giadongcua,giathaydoi,KL,GT,giamocua,giacaonhat,giathapnhat,symbol
0,04/03/2022,23.90 ,23.90 ,0.50 (2.14 %),"730,600 ","17,407,000,000 ",23.40 ,24.40 ,23.30 ,ELC
1,03/03/2022,23.40 ,23.40 ,0.00 (0.00 %),"304,500 ","7,172,000,000 ",23.40 ,23.90 ,23.15 ,ELC
2,02/03/2022,23.40 ,23.40 ,-0.60 (-2.50 %),"399,300 ","9,357,000,000 ",23.90 ,24.10 ,23.15 ,ELC
3,01/03/2022,24.00 ,24.00 ,0.40 (1.69 %),"395,800 ","9,430,000,000 ",23.55 ,24.20 ,23.25 ,ELC
4,28/02/2022,23.55 ,23.55 ,-0.15 (-0.63 %),"199,400 ","4,666,000,000 ",23.70 ,24.00 ,23.10 ,ELC
5,25/02/2022,23.70 ,23.70 ,0.60 (2.60 %),"295,000 ","7,011,000,000 ",23.30 ,24.40 ,23.30 ,ELC
6,24/02/2022,23.10 ,23.10 ,-1.40 (-5.71 %),"617,500 ","14,574,000,000 ",24.30 ,24.35 ,22.90 ,ELC
7,23/02/2022,24.50 ,24.50 ,-0.10 (-0.41 %),"486,600 ","11,927,000,000 ",24.70 ,24.90 ,24.20 ,ELC
8,22/02/2022,24.55 ,24.55 ,0.85 (3.59 %),"907,000 ","21,983,000,000 ",23.65 ,24.55 ,23.65 ,ELC
9,21/02/2022,23.65 ,23.65 ,0.15 (0.64 %),"339,000 ","8,148,000,000 ",24.40 ,24.45 ,23.60 ,ELC
10,18/02/2022,23.50 ,23.50 ,1.50 (6.82 %),"702,100 ","16,291,000,000 ",22.05 ,23.50 ,22.05 ,ELC
11,17/02/2022,22.00 ,22.00 ,-0.10 (-0.45 %),"141,800 ","3,132,000,000 ",21.90 ,22.25 ,21.90 ,ELC
12,16/02/2022,22.05 ,22.05 ,-0.35 (-1.56 %),"203,200 ","4,483,000,000 ",22.60 ,22.60 ,21.80 ,ELC
13,15/02/2022,22.35 ,22.35 ,-0.15 (-0.67 %),"162,700 ","3,624,000,000 ",22.50 ,22.50 ,22.05 ,ELC
14,14/02/2022,22.50 ,22.50 ,-0.50 (-2.17 %),"270,000 ","6,055,000,000 ",23.00 ,23.00 ,22.00 ,ELC
15,11/02/2022,23.00 ,23.00 ,-0.40 (-1.71 %),"91,200 ","2,102,000,000 ",23.20 ,23.20 ,22.80 ,ELC
16,10/02/2022,23.35 ,23.35 ,-0.05 (-0.21 %),"221,600 ","5,111,000,000 ",23.20 ,23.45 ,22.85 ,ELC
17,09/02/2022,23.40 ,23.40 ,-0.10 (-0.43 %),"154,200 ","3,628,000,000 ",23.80 ,24.00 ,23.40 ,ELC
18,08/02/2022,23.50 ,23.50 ,0.50 (2.17 %),"87,100 ","2,032,000,000 ",23.00 ,23.85 ,23.00 ,ELC
19,07/02/2022,23.00 ,23.00 ,0.50 (2.22 %),"106,200 ","2,425,000,000 ",22.50 ,23.25 ,22.50 ,ELC
0,28/01/2022,22.50 ,22.50 ,0.70 (3.21 %),"155,700 ","3,469,000,000 ",21.75 ,23.25 ,21.75 ,ELC
1,27/01/2022,21.75 ,21.75 ,0.05 (0.23 %),"119,100 ","2,577,000,000 ",21.70 ,21.90 ,21.45 ,ELC
2,26/01/2022,21.70 ,21.70 ,0.00 (0.00 %),"160,700 ","3,448,000,000 ",21.65 ,21.85 ,20.95 ,ELC
3,25/01/2022,21.65 ,21.65 ,-0.45 (-2.04 %),"78,700 ","1,711,000,000 ",21.25 ,21.90 ,21.25 ,ELC
4,24/01/2022,22.05 ,22.05 ,-0.65 (-2.86 %),"141,000 ","3,096,000,000 ",22.65 ,22.65 ,21.50 ,ELC
5,21/01/2022,22.65 ,22.65 ,-0.05 (-0.22 %),"165,400 ","3,699,000,000 ",22.65 ,22.80 ,21.90 ,ELC
6,20/01/2022,22.50 ,22.50 ,1.20 (5.63 %),"162,400 ","3,546,000,000 ",21.25 ,22.70 ,21.05 ,ELC
7,19/01/2022,21.10 ,21.10 ,0.00 (0.00 %),"188,200 ","3,980,000,000 ",21.10 ,22.00 ,20.80 ,ELC
8,18/01/2022,21.10 ,21.10 ,-1.30 (-5.80 %),"285,300 ","6,113,000,000 ",21.50 ,22.80 ,20.90 ,ELC
9,17/01/2022,22.40 ,22.40 ,-1.25 (-5.29 %),"389,900 ","8,962,000,000 ",23.65 ,23.65 ,22.00 ,ELC
10,14/01/2022,23.65 ,23.65 ,-0.05 (-0.21 %),"212,500 ","4,974,000,000 ",23.60 ,24.30 ,22.80 ,ELC
11,13/01/2022,23.65 ,23.65 ,0.15 (0.64 %),"308,600 ","7,328,000,000 ",23.50 ,24.50 ,23.25 ,ELC
12,12/01/2022,23.50 ,23.50 ,-0.50 (-2.08 %),"356,100 ","8,366,000,000 ",23.60 ,24.00 ,22.80 ,ELC
13,11/01/2022,24.00 ,24.00 ,-0.40 (-1.64 %),"407,600 ","9,712,000,000 ",24.40 ,24.40 ,23.00 ,ELC
14,10/01/2022,24.40 ,24.40 ,-1.40 (-5.43 %),"668,500 ","16,714,000,000 ",25.80 ,25.80 ,24.40 ,ELC
15,07/01/2022,25.80 ,25.80 ,-0.20 (-0.77 %),"622,200 ","15,912,000,000 ",26.00 ,26.00 ,25.35 ,ELC
16,06/01/2022,26.00 ,26.00 ,0.00 (0.00 %),"323,100 ","8,392,000,000 ",26.30 ,26.30 ,25.80 ,ELC
17,05/01/2022,26.00 ,26.00 ,0.10 (0.39 %),"675,100 ","17,386,000,000 ",25.65 ,26.40 ,25.60 ,ELC
18,04/01/2022,25.90 ,25.90 ,0.10 (0.39 %),"274,500 ","7,142,000,000 ",25.90 ,26.25 ,25.80 ,ELC
19,31/12/2021,25.80 ,25.80 ,-0.80 (-3.01 %),"313,100 ","8,184,000,000 ",26.50 ,26.60 ,25.70 ,ELC
0,30/12/2021,26.60 ,26.60 ,0.00 (0.00 %),"240,300 ","6,406,000,000 ",26.80 ,26.90 ,26.40 ,ELC
1,29/12/2021,26.55 ,26.55 ,0.05 (0.19 %),"470,800 ","12,410,000,000 ",26.15 ,27.30 ,25.80 ,ELC
2,28/12/2021,26.50 ,26.50 ,-0.70 (-2.57 %),"480,700 ","12,767,000,000 ",26.60 ,26.80 ,26.45 ,ELC
3,27/12/2021,27.20 ,27.20 ,-0.60 (-2.16 %),"363,400 ","9,763,000,000 ",27.95 ,27.95 ,26.50 ,ELC
4,24/12/2021,27.80 ,27.80 ,1.80 (6.92 %),"667,800 ","17,914,000,000 ",26.10 ,27.80 ,25.70 ,ELC
5,23/12/2021,26.00 ,26.00 ,0.30 (1.17 %),"488,200 ","12,631,000,000 ",25.50 ,26.65 ,25.50 ,ELC
6,22/12/2021,25.65 ,25.65 ,-1.15 (-4.29 %),"1,251,000 ","32,306,000,000 ",26.85 ,26.90 ,25.50 ,ELC
7,21/12/2021,26.80 ,26.80 ,-1.90 (-6.62 %),"1,244,800 ","34,007,000,000 ",28.00 ,28.50 ,26.70 ,ELC
8,20/12/2021,28.70 ,28.70 ,-0.30 (-1.03 %),"394,100 ","11,322,000,000 ",29.40 ,29.40 ,28.50 ,ELC
9,17/12/2021,29.00 ,29.00 ,-0.40 (-1.36 %),"755,900 ","22,098,000,000 ",29.60 ,29.60 ,29.00 ,ELC
10,16/12/2021,29.40 ,29.40 ,1.40 (5.00 %),"1,814,400 ","52,283,000,000 ",28.00 ,29.50 ,27.30 ,ELC
11,15/12/2021,28.00 ,28.00 ,-0.20 (-0.71 %),"473,500 ","13,235,000,000 ",27.70 ,28.40 ,27.70 ,ELC
12,14/12/2021,28.20 ,28.20 ,-0.30 (-1.05 %),"1,032,300 ","29,487,000,000 ",28.50 ,29.20 ,28.00 ,ELC
13,13/12/2021,28.50 ,28.50 ,1.60 (5.95 %),"1,554,500 ","43,573,000,000 ",27.80 ,28.50 ,27.10 ,ELC
14,10/12/2021,26.90 ,26.90 ,1.75 (6.96 %),"1,156,700 ","30,724,000,000 ",25.15 ,26.90 ,25.10 ,ELC
15,09/12/2021,25.15 ,25.15 ,0.00 (0.00 %),"155,000 ","3,898,000,000 ",25.15 ,25.30 ,25.00 ,ELC
16,08/12/2021,25.15 ,25.15 ,0.05 (0.20 %),"269,900 ","6,783,000,000 ",25.40 ,25.40 ,25.00 ,ELC
17,07/12/2021,25.10 ,25.10 ,0.40 (1.62 %),"245,900 ","6,150,000,000 ",25.00 ,25.50 ,24.55 ,ELC
18,06/12/2021,24.70 ,24.70 ,-0.40 (-1.59 %),"313,100 ","7,894,000,000 ",25.45 ,25.60 ,24.65 ,ELC
19,03/12/2021,25.10 ,25.10 ,0.45 (1.83 %),"339,400 ","8,481,000,000 ",25.00 ,26.00 ,24.40 ,ELC
0,02/12/2021,24.65 ,24.65 ,0.05 (0.20 %),"184,300 ","4,553,000,000 ",24.60 ,24.80 ,24.60 ,ELC
1,01/12/2021,24.60 ,24.60 ,-0.50 (-1.99 %),"286,800 ","7,090,000,000 ",25.10 ,25.45 ,24.60 ,ELC
2,30/11/2021,25.10 ,25.10 ,-0.20 (-0.79 %),"416,000 ","10,514,000,000 ",25.15 ,25.65 ,25.00 ,ELC
3,29/11/2021,25.30 ,25.30 ,-0.30 (-1.17 %),"350,300 ","8,822,000,000 ",25.00 ,25.35 ,25.00 ,ELC
4,26/11/2021,25.60 ,25.60 ,-0.15 (-0.58 %),"478,100 ","12,208,000,000 ",25.75 ,25.75 ,25.10 ,ELC
5,25/11/2021,25.75 ,25.75 ,0.15 (0.59 %),"289,300 ","7,423,000,000 ",25.40 ,26.10 ,25.35 ,ELC
6,24/11/2021,25.60 ,25.60 ,1.10 (4.49 %),"500,300 ","12,862,000,000 ",26.00 ,26.00 ,25.25 ,ELC
7,23/11/2021,24.50 ,24.50 ,1.60 (6.99 %),"290,500 ","6,985,000,000 ",22.90 ,24.50 ,22.55 ,ELC
8,22/11/2021,22.90 ,22.90 ,-0.95 (-3.98 %),"957,300 ","22,101,000,000 ",22.55 ,23.90 ,22.55 ,ELC
9,19/11/2021,23.85 ,23.85 ,-1.75 (-6.84 %),"830,400 ","20,361,000,000 ",25.20 ,25.25 ,23.85 ,ELC
10,18/11/2021,25.60 ,25.60 ,-0.30 (-1.16 %),"467,100 ","11,947,000,000 ",25.80 ,26.20 ,25.15 ,ELC
11,17/11/2021,25.90 ,25.90 ,-0.55 (-2.08 %),"364,700 ","9,414,000,000 ",26.10 ,26.20 ,25.60 ,ELC
12,16/11/2021,26.45 ,26.45 ,0.75 (2.92 %),"518,300 ","13,675,000,000 ",26.00 ,27.20 ,25.70 ,ELC
13,15/11/2021,25.70 ,25.70 ,0.45 (1.78 %),"575,500 ","14,839,000,000 ",25.00 ,26.50 ,25.00 ,ELC
14,12/11/2021,25.25 ,25.25 ,-1.35 (-5.08 %),"1,847,000 ","46,610,000,000 ",26.00 ,26.40 ,24.80 ,ELC
15,11/11/2021,26.60 ,26.60 ,-1.05 (-3.80 %),"1,335,300 ","35,995,000,000 ",27.60 ,27.65 ,26.40 ,ELC
16,10/11/2021,27.65 ,27.65 ,-0.15 (-0.54 %),"396,100 ","10,976,000,000 ",27.80 ,28.00 ,27.55 ,ELC
17,09/11/2021,27.80 ,27.80 ,-0.10 (-0.36 %),"490,100 ","13,725,000,000 ",27.50 ,28.50 ,27.50 ,ELC
18,08/11/2021,27.90 ,27.90 ,0.30 (1.09 %),"559,100 ","15,382,000,000 ",27.40 ,28.20 ,27.35 ,ELC
19,05/11/2021,27.60 ,27.60 ,-0.55 (-1.95 %),"523,800 ","14,457,000,000 ",28.10 ,28.10 ,27.50 ,ELC
0,04/11/2021,28.15 ,28.15 ,-0.65 (-2.26 %),"726,600 ","20,311,000,000 ",28.70 ,28.70 ,27.70 ,ELC
1,03/11/2021,28.80 ,28.80 ,-0.05 (-0.17 %),"1,009,800 ","28,972,000,000 ",29.00 ,29.40 ,28.00 ,ELC
