symbol,urlhistory,urlsymbol
HMC, http://s.cafef.vn/Lich-su-giao-dich-HMC-1.chn, http://s.cafef.vn/hose/HMC-cong-ty-co-phan-kim-khi-thanh-pho-ho-chi-minh-vnsteel.chn
HDC, http://s.cafef.vn/Lich-su-giao-dich-HDC-1.chn, http://s.cafef.vn/hose/HDC-cong-ty-co-phan-phat-trien-nha-ba-riavung-tau.chn
KPF, http://s.cafef.vn/Lich-su-giao-dich-KPF-1.chn, http://s.cafef.vn/hose/KPF-cong-ty-co-phan-dau-tu-tai-chinh-hoang-minh.chn
PSE, http://s.cafef.vn/Lich-su-giao-dich-PSE-1.chn, http://s.cafef.vn/hastc/PSE-cong-ty-co-phan-phan-bon-va-hoa-chat-dau-khi-dong-nam-bo.chn
PBT, http://s.cafef.vn/Lich-su-giao-dich-PBT-1.chn, http://s.cafef.vn/upcom/PBT-cong-ty-co-phan-nha-va-thuong-mai-dau-khi.chn
VHD, http://s.cafef.vn/Lich-su-giao-dich-VHD-1.chn, http://s.cafef.vn/upcom/VHD-cong-ty-co-phan-dau-tu-phat-trien-nha-va-do-thi-vinaconex.chn
HBC, http://s.cafef.vn/Lich-su-giao-dich-HBC-1.chn, http://s.cafef.vn/hose/HBC-cong-ty-co-phan-tap-doan-xay-dung-hoa-binh.chn
SGD, http://s.cafef.vn/Lich-su-giao-dich-SGD-1.chn, http://s.cafef.vn/hastc/SGD-cong-ty-co-phan-sach-giao-duc-tai-tp-ho-chi-minh.chn
NHT, http://s.cafef.vn/Lich-su-giao-dich-NHT-1.chn, http://s.cafef.vn/hose/NHT-cong-ty-co-phan-san-xuat-va-thuong-mai-nam-hoa.chn
SAF, http://s.cafef.vn/Lich-su-giao-dich-SAF-1.chn, http://s.cafef.vn/hastc/SAF-cong-ty-co-phan-luong-thuc-thuc-pham-safoco.chn
ASM, http://s.cafef.vn/Lich-su-giao-dich-ASM-1.chn, http://s.cafef.vn/hose/ASM-cong-ty-co-phan-tap-doan-sao-mai.chn
PVI, http://s.cafef.vn/Lich-su-giao-dich-PVI-1.chn, http://s.cafef.vn/hastc/PVI-cong-ty-co-phan-pvi.chn
VSC, http://s.cafef.vn/Lich-su-giao-dich-VSC-1.chn, http://s.cafef.vn/hose/VSC-cong-ty-co-phan-tap-doan-container-viet-nam.chn
BGW, http://s.cafef.vn/Lich-su-giao-dich-BGW-1.chn, http://s.cafef.vn/upcom/BGW-cong-ty-co-phan-nuoc-sach-bac-giang.chn
KHP, http://s.cafef.vn/Lich-su-giao-dich-KHP-1.chn, http://s.cafef.vn/hose/KHP-cong-ty-co-phan-dien-luc-khanh-hoa.chn
